"Campaign","Campaign Status","Campaign Type","Networks","Campaign Daily Budget AED","Ad Group","Ad Group Status","Primary Theme","Final Landing Page","Target Locations","Location Presence Setting","Location Exclusion","Ad Schedule","Device Strategy","Initial Bid Strategy","Primary Conversion Actions","Secondary Conversion Actions","Broad Match Policy","Ad Group Budget Weight","Notes"
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse Construction","Paused - draft only","New warehouse construction and design-to-handover coordination","https://emitronix.ae/warehouse-construction","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","25%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse Contractors","Paused - draft only","High-intent contractor and company searches","https://emitronix.ae/warehouse-construction","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","15%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Industrial Warehouse","Paused - draft only","Industrial and logistics warehouse projects","https://emitronix.ae/warehouse-construction","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","15%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse Expansion","Paused - draft only","Warehouse extensions and capacity expansion","https://emitronix.ae/warehouse/warehouse-expansion","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","12.5%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse Modification","Paused - draft only","Warehouse modification, renovation and fit-out","https://emitronix.ae/warehouse/warehouse-expansion","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","12.5%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Factory Construction","Paused - draft only","Factory construction and modification","https://emitronix.ae/industrial-buildings","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","8%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse Civil Works","Paused - draft only","Warehouse foundations, slabs, flooring and civil works","https://emitronix.ae/warehouse/warehouse-mep","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","6%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Search | Warehouse Construction | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","20","Warehouse MEP Works","Paused - draft only","Warehouse MEP, utilities and fire-system coordination","https://emitronix.ae/warehouse/warehouse-mep","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","6%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Search | Authority Approvals | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","10","Dubai Municipality Approval","Paused - draft only","Dubai Municipality drawing and permit coordination","https://emitronix.ae/dubai-municipality-approval","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","20%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available."
"Search | Authority Approvals | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","10","Dubai Civil Defence Approval","Paused - draft only","DCD fire and life-safety approval coordination","https://emitronix.ae/dcd-approvals","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","20%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available."
"Search | Authority Approvals | Dubai","Paused - draft only","Search","Google Search only; Search Partners off for initial quality control; Display off","10","Trakhees Approval","Paused - draft only","Trakhees free-zone permit and approval coordination","https://emitronix.ae/trakhees-approvals","Dubai; Jebel Ali; JAFZA; Dubai Investment Park; Dubai Industrial City; Dubai South; Al Quoz; Ras Al Khor; National Industries Park; Dubai Production City; Dubai Silicon Oasis; Dubai Airport Freezone","People in or regularly in the targeted locations","Exclude interest-only users and people outside the service area","Mon-Sat 08:00-18:00 Asia/Dubai; Sunday paused; reassess only from conversion-quality data","Mobile and desktop enabled; all devices observed; no initial bid adjustment","Start Maximize Clicks with a CPC ceiling; move to Maximize Conversions only after de-duplicated qualified conversion data","generate_lead (primary only after QA); qualified_lead (offline primary only after stable import QA)","phone_click; whatsapp_click; email_click; quotation_request; site_inspection_request; thank_you_view; form_submit (diagnostic only)","Broad keywords paused initially; test only after strong negatives, validated tracking, conversion-based bidding, and sufficient qualified conversion volume","15%","Draft only. Total Google budget is AED 35/day: Warehouse AED 20, Approvals AED 10, Brand AED 5. No automatic budget increase. Performance expectations are estimates until platform and CRM data are available."
