"URL","Language","Page type","GSC status","HTTP status","Final redirected URL","Meta robots","X-Robots-Tag","Canonical URL","Hreflang status","Sitemap inclusion","Internal links","Content condition","Recommended action","Action completed","Verification result"
"https://emitronix.ae/ar/blog/choose-best-building-contractor-dubai","Arabic","Arabic blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/ar/blog/choose-best-building-contractor-dubai","Required tags present; self-reference present","Yes","1","Substantial, canonical HTML; 334 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Retained as indexable Arabic content and added contextual links from related Arabic articles and relevant service or approval pages.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200"
"https://emitronix.ae/ar/blog/complete-guide-civil-construction-dubai-2026","Arabic","Arabic blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/ar/blog/complete-guide-civil-construction-dubai-2026","Required tags present; self-reference present","Yes","1","Substantial, canonical HTML; 338 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Retained as indexable Arabic content and added contextual links from related Arabic articles and relevant service or approval pages.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200"
"https://emitronix.ae/ar/blog/dubai-authority-approvals-dewa-dubai-municipality-dcd-trakhees","Arabic","Arabic blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/ar/blog/dubai-authority-approvals-dewa-dubai-municipality-dcd-trakhees","Required tags present; self-reference present","Yes","1","Substantial, canonical HTML; 379 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Retained as indexable Arabic content and added contextual links from related Arabic articles and relevant service or approval pages.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200"
"https://emitronix.ae/blog/cold-storage-warehouse-construction-approval-checklist","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/cold-storage-warehouse-construction-approval-checklist","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; 1560 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/cold-storage-warehouse-construction-contractor-selection","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/cold-storage-warehouse-construction-contractor-selection","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; 1569 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/cold-storage-warehouse-construction-cost-factors","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/cold-storage-warehouse-construction-cost-factors","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; 1573 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/cold-storage-warehouse-construction-planning-guide","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/cold-storage-warehouse-construction-planning-guide","Required tags present; self-reference present","Yes","7","Substantial, canonical HTML; 1574 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/cold-storage-warehouse-construction-timeline-process","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/cold-storage-warehouse-construction-timeline-process","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; 1578 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/dubai-authority-approvals-dewa-dubai-municipality-dcd-trakhees","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/dubai-authority-approvals-dewa-dubai-municipality-dcd-trakhees","Required tags present; self-reference present","Yes","7","Substantial, canonical HTML; 1674 words; html lang=en-AE; dir=ltr","Keep indexable, retain the self-canonical URL in the sitemap, and strengthen contextual internal links from relevant hubs.","Reviewed; current indexability, canonical and sitemap treatment retained.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200"
"https://emitronix.ae/blog/factory-construction-uae-approval-checklist","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/factory-construction-uae-approval-checklist","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; near duplicate of https://emitronix.ae/blog/industrial-building-construction-dubai-approval-checklist (0.84 similarity); 1509 words; html lang=en-AE; dir=ltr","Improve with substantial, page-specific content or consolidate to the strongest matching canonical page and remove this URL from the sitemap.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/factory-construction-uae-contractor-selection","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/factory-construction-uae-contractor-selection","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; near duplicate of https://emitronix.ae/blog/industrial-building-construction-dubai-contractor-selection (0.84 similarity); 1519 words; html lang=en-AE; dir=ltr","Improve with substantial, page-specific content or consolidate to the strongest matching canonical page and remove this URL from the sitemap.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/factory-construction-uae-cost-factors","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/factory-construction-uae-cost-factors","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; near duplicate of https://emitronix.ae/blog/industrial-building-construction-dubai-cost-factors (0.83 similarity); 1521 words; html lang=en-AE; dir=ltr","Improve with substantial, page-specific content or consolidate to the strongest matching canonical page and remove this URL from the sitemap.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/factory-construction-uae-planning-guide","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/factory-construction-uae-planning-guide","Required tags present; self-reference present","Yes","7","Substantial, canonical HTML; near duplicate of https://emitronix.ae/blog/industrial-building-construction-dubai-planning-guide (0.84 similarity); 1523 words; html lang=en-AE; dir=ltr","Improve with substantial, page-specific content or consolidate to the strongest matching canonical page and remove this URL from the sitemap.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
"https://emitronix.ae/blog/factory-construction-uae-timeline-process","English","English blog article","Discovered - currently not indexed","200","","index, follow","","https://emitronix.ae/blog/factory-construction-uae-timeline-process","Required tags present; self-reference present","Yes","4","Substantial, canonical HTML; near duplicate of https://emitronix.ae/blog/industrial-building-construction-dubai-timeline-process (0.83 similarity); 1526 words; html lang=en-AE; dir=ltr","Improve with substantial, page-specific content or consolidate to the strongest matching canonical page and remove this URL from the sitemap.","Implemented a direct 301 to the topic-matched warehouse resource and removed the generated article from route manifests, internal links and sitemap output.","Live audit 2026-08-11: final HTTP 200; Googlebot HTTP 200. Redirect is verified in the local production build; production deployment and recrawl remain pending."
