"Level","Campaign","Ad Group","Negative Keyword","Match Type","Rationale","Status","Notes"
"Account","All campaigns","All ad groups","jobs","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","careers","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","vacancy","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","vacancies","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","salary","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","internship","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","government jobs","Phrase","Employment intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","visa","Phrase","Employment or immigration intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","training","Phrase","Education intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","course","Phrase","Education intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","courses","Phrase","Education intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","certificate course","Phrase","Education intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","pdf","Phrase","Download or research intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","free","Phrase","Low commercial intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","diy","Phrase","Do-it-yourself intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","template","Phrase","Template intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","templates","Phrase","Template intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","drawings download","Phrase","Download intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","meaning","Phrase","Definition intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","definition","Phrase","Definition intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","wikipedia","Phrase","Informational intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","photos","Phrase","Image-search intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","images","Phrase","Image-search intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","youtube","Phrase","Video-search intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
