"Row ID","Status","Campaign","Objective","Campaign Daily Budget AED - Campaign Reference Only Do Not Sum","Budget Control","Ad Set","Ad Set Purpose","Conversion Location","Performance Goal","Optimization Event","Audience Setup","Location Control","Custom Audience Exclusions","Placements","Format","Destination or Asset","CTA","UTM Campaign","UTM Content","Launch Phase","Activation Condition","Special Ad Category","Notes"
"W01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Construction","New warehouse and logistics facility enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; logistics, warehousing, supply chain, construction management and business decision-maker signals as suggestions only","Strict Dubai control; add available Jebel Ali, Dubai Investment Park, Dubai South, Dubai Industrial City, Al Quoz and Ras Al Khor pins or radii only if delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","LF-WH-Short-v1; context URL https://emitronix.ae/warehouse-construction","Request a Quote","meta_warehouse_leads","w01_static_scope","Phase 1","Initial live ad set for this campaign; prerequisites and written approval complete","None expected - verify in Ads Manager","One of two launch creatives; qualify with form questions rather than narrow job-title targeting."
"W02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Construction","New warehouse and logistics facility enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; logistics, warehousing, supply chain, construction management and business decision-maker signals as suggestions only","Strict Dubai control; add available Jebel Ali, Dubai Investment Park, Dubai South, Dubai Industrial City, Al Quoz and Ras Al Khor pins or radii only if delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","LF-WH-Short-v1; context URL https://emitronix.ae/warehouse-construction","Request a Quote","meta_warehouse_leads","w02_carousel_lifecycle","Phase 2","Test only after Phase 1 establishes a usable baseline; share the same AED 10 campaign budget","None expected - verify in Ads Manager","Use CR01. Keep cards readable without sound and do not imply fixed approval or completion timelines."
"W03","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Construction","New warehouse and logistics facility enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; logistics, warehousing, supply chain, construction management and business decision-maker signals as suggestions only","Strict Dubai control; add available Jebel Ali, Dubai Investment Park, Dubai South, Dubai Industrial City, Al Quoz and Ras Al Khor pins or radii only if delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","LF-WH-Short-v1; context URL https://emitronix.ae/warehouse-construction","Discuss Your Project","meta_warehouse_leads","w03_video_project_brief","Phase 1","Second launch creative within the initial Warehouse Construction ad set; written approval complete","None expected - verify in Ads Manager","Use VID01; all key meaning must be visible in on-screen text."
"W04","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Modification and Expansion","Modification, renovation, extension and operating-site enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; facility management, warehousing, operations, industrial property and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","https://emitronix.ae/warehouse/warehouse-expansion","Get Quote","meta_warehouse_leads","w04_static_expansion","Phase 2","Consolidated expansion page rebuilt and approved for paid traffic; Pixel, consent and deduplicated generate_lead event validated; rotate with rather than stack on Phase 1 ad set","None expected - verify in Ads Manager","Use expansion-specific copy and show an authentic site, drawing or rights-cleared conceptual visual."
"W05","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Modification and Expansion","Modification, renovation, extension and operating-site enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; facility management, warehousing, operations, industrial property and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","https://emitronix.ae/warehouse/warehouse-expansion","Learn More","meta_warehouse_leads","w05_carousel_modification","Phase 2","Consolidated expansion page rebuilt and approved for paid traffic; Pixel and deduplicated generate_lead event validated; test against W04 without increasing budget","None expected - verify in Ads Manager","Use CR02 and the consolidated expansion page; identify operational constraints before presenting the enquiry CTA."
"W06","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Warehouse Modification and Expansion","Modification, renovation, extension and operating-site enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; facility management, warehousing, operations, industrial property and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","https://emitronix.ae/warehouse/warehouse-expansion","Book Now","meta_warehouse_leads","w06_video_modification","Phase 2","Consolidated expansion page rebuilt and approved for paid traffic; Pixel and deduplicated generate_lead event validated; use as a creative rotation within the AED 10 campaign","None expected - verify in Ads Manager","Use VID02 and CTA wording Book a Site Inspection in the creative; use the consolidated expansion page."
"W07","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Factory and Industrial Construction","Factory, workshop and industrial building enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; manufacturing, industrial engineering, factory management, procurement and project management signals as suggestions only","Strict Dubai control; test Abu Dhabi or Sharjah only as a separately approved future geo rotation","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","LF-WH-HighIntent-v1; context URL https://emitronix.ae/industrial-buildings","Request a Quote","meta_warehouse_leads","w07_static_industrial","Phase 2","High-intent form approved; rotate after the initial warehouse test instead of activating concurrently","None expected - verify in Ads Manager","Use industrial-building scope copy; do not claim factory-project experience beyond published services."
"W08","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Factory and Industrial Construction","Factory, workshop and industrial building enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; manufacturing, industrial engineering, factory management, procurement and project management signals as suggestions only","Strict Dubai control; test Abu Dhabi or Sharjah only as a separately approved future geo rotation","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","LF-WH-HighIntent-v1; context URL https://emitronix.ae/industrial-buildings","Discuss Your Project","meta_warehouse_leads","w08_video_industrial","Phase 2","High-intent form approved; test as the second creative within this phased ad set","None expected - verify in Ads Manager","Lead with operational use, loads, utilities and fire-safety interfaces."
"W09","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Civil MEP and Fire-System Works","Civil works, MEP coordination and warehouse fire-system interface enquiries","WhatsApp","Maximize number of conversations","Qualified WhatsApp conversation","Advantage+ audience; age 18+; all genders; no language restriction; facility management, MEP, fire safety, warehouse operations and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude recent qualified conversations, submitted leads and customers when lawful custom audiences exist","Eligible click-to-WhatsApp placements; provide 1:1, 4:5 and 9:16 assets","Single image","WhatsApp Business destination; WA01 or WA02 conversation starter","Send WhatsApp Message","meta_warehouse_leads","w09_whatsapp_services","Phase 2","Verified WhatsApp Business connection, consent notice, routing and staffed response process are ready","None expected - verify in Ads Manager","Run only when enquiries can be handled promptly; collect no sensitive documents in the first automated message."
"W10","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Civil MEP and Fire-System Works","Civil works, MEP coordination and warehouse fire-system interface enquiries","WhatsApp","Maximize number of conversations","Qualified WhatsApp conversation","Advantage+ audience; age 18+; all genders; no language restriction; facility management, MEP, fire safety, warehouse operations and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude recent qualified conversations, submitted leads and customers when lawful custom audiences exist","Eligible click-to-WhatsApp placements; provide 1:1, 4:5 and 9:16 assets","Carousel","WhatsApp Business destination; WA01 or WA02 conversation starter","Send WhatsApp Message","meta_warehouse_leads","w10_whatsapp_carousel","Phase 3","WhatsApp quality and response-time baseline exists; share the existing AED 10 campaign budget","None expected - verify in Ads Manager","Use service-interface cards; avoid technical certification or authority claims that are not verified."
