"Asset ID","Status","Campaign","Ad Set","Asset Type","Format or Form Type","Funnel Stage","Concept","Primary Text","Headline","Description","CTA","Destination","Visual Direction","Sequence Cards Script or Questions","WhatsApp Greeting or Prefill","Privacy URL","Lead Form Thank-You","Compliance and Usage Notes"
"PT01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Primary text","Flexible","Prospecting","New warehouse project brief","Planning a new warehouse in Dubai? Emitronix Contracting LLC coordinates civil, structural, MEP, fire-safety and authority interfaces around the project scope. Share the location, intended use and available drawings to request a project-specific quotation.","","","Get Quote","https://emitronix.ae/warehouse-construction","","","","","","Avoid implying that every service or approval route applies to every project."
"PT02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Primary text","Flexible","Prospecting","Contractor scope comparison","Comparing warehouse contractors in Dubai? Start with the operating use, floor loads, access, utilities, fire-safety requirements, drawings and handover expectations. Discuss the brief with Emitronix before pricing assumptions are fixed.","","","Contact Us","https://emitronix.ae/warehouse-construction","","","","","","Use the consolidated core warehouse page with a scope-led visual; do not use ranking, best-contractor or lowest-price claims."
"PT03","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Primary text","Flexible","Prospecting","Operating warehouse modification","Expanding or modifying an operating warehouse? Existing conditions, access, structural changes, MEP capacity and the approval route need to be reviewed together. Book a site inspection to discuss the scope and available drawings.","","","Book Now","https://emitronix.ae/warehouse/warehouse-expansion","","","","","","A site inspection is a requested next step, not a guaranteed appointment."
"PT04","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Factory and Industrial Construction","Primary text","Flexible","Prospecting","Factory and industrial facility","Factory and industrial building plans should begin with the intended operation, equipment loads, utilities, drainage, access and fire-life-safety interfaces. Share your Dubai project brief with Emitronix for a coordinated construction review.","","","Contact Us","https://emitronix.ae/industrial-buildings","","","","","","Do not add project-count, certification or specialist-system claims unless separately verified."
"PT05","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Civil MEP and Fire-System Works","Primary text","Flexible","Prospecting","Civil MEP and fire coordination","Warehouse civil works cannot be planned in isolation from MEP routes, fire systems, utilities and operating constraints. Emitronix can review the project interfaces and help define a coordinated contracting scope. Send the basic project details on WhatsApp.","","","Send WhatsApp Message","WhatsApp Business destination","","","","","","Use coordination language; do not claim to be the authority, designer of record or specialist system certifier unless verified for the project."
"PT06","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Primary text","Flexible","Prospecting","Site inspection CTA","A useful warehouse quotation starts with a clear brief. Tell us the project location, approximate size, intended use, drawing status and expected start date. Request a site inspection or project review with Emitronix Contracting LLC in Dubai.","","","Get Quote","https://emitronix.ae/contact","","","","","","Do not promise a quotation or visit within a fixed time."
"PT07","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Primary text","Flexible","Prospecting","Approval route review","Warehouse and building modifications can involve Dubai Municipality, Dubai Civil Defence, a free-zone authority or a master developer. Emitronix supports project-specific drawing review, submission coordination, comment follow-up and inspection readiness. Send your location and drawing status for review.","","","Get Quote","LF-AP-HighIntent-v1; pair with the confirmed authority-specific context page","","","","","","Authority route and Emitronix role must be confirmed before appointment; no approval is guaranteed."
"PT08","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Primary text","Flexible","Prospecting","Dubai Municipality support","Preparing a construction, modification or fit-out submission in Dubai? Confirm the property, current drawings, proposed scope, consultant responsibilities and supporting documents before filing. Discuss Dubai Municipality approval coordination with Emitronix.","","","Learn More","https://emitronix.ae/dubai-municipality-approval","","","","","","Do not imply affiliation with Dubai Municipality."
"PT09","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Primary text","Flexible","Prospecting","Dubai Civil Defence support","Fire and life-safety submissions need the approved use, layout, system information and installed condition to remain aligned. Emitronix supports Dubai Civil Defence drawing, comment and inspection-readiness coordination for applicable projects. Send your drawings for review.","","","Get Quote","https://emitronix.ae/dcd-approvals","","","","","","Do not imply affiliation with Dubai Civil Defence or guaranteed inspection outcome."
"PT10","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Trakhees JAFZA and Dubai South Approvals","Primary text","Flexible","Prospecting","Free-zone jurisdiction first","Planning warehouse or industrial works in Jebel Ali, JAFZA, Dubai South or another regulated development? The exact location, activity, lease conditions and appointed parties shape the approval route. The service scope and Emitronix role must be confirmed for the specific jurisdiction before this ad is used.","","","Contact Us","HOLD - no approved JAFZA or Dubai South final URL","","","","","","Hold this combined asset. Use the Trakhees page only for confirmed Trakhees enquiries; JAFZA and Dubai South service scope, advertiser role and dedicated landing pages require verification."
"PT11","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Primary text","Flexible","Prospecting","Drawing and comment coordination","Have existing drawings or authority comments? Emitronix can review the available information, clarify likely document gaps and coordinate the agreed preparation, submission and follow-up scope with the appointed parties. Start with the project location and current status.","","","Get Quote","LF-AP-HighIntent-v1; approval hub may be a post-submit supporting link only","","","","","","Do not ask prospects to send confidential drawings through an unsecured channel."
