URL,language,page type,intended indexability,GSC reason,HTTP status,robots/noindex,declared canonical,Google-selected canonical when available,sitemap inclusion,internal links,evidence/root cause,correction,verification,submission status,remaining action
https://emitronix.ae/,English,Home,Index,,200,"index, follow",https://emitronix.ae/,Not available in aggregate report,Yes,207,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 207 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/_next/static/media/e4af272ccee01ff0-s.p.woff2,English,Resource,Exclude: non-HTML resource,Crawled - currently not indexed,200,No noindex detected,,Not available in aggregate report,No,0,"Manifest and font files are supporting resources, not standalone search documents.",No change; these resources must remain crawlable for rendering.,HTTP 200; no HTML canonical; 0 internal source page(s),Not submitted individually,Expected non-page status.
https://emitronix.ae/&,English,Site page,Exclude: malformed URL,Not found (404),404,"noindex | noindex, follow",,Not available in aggregate report,No,0,Malformed one-character URL discovered historically; no relevant replacement exists.,Keep a genuine 404 with noindex; do not redirect unrelated URLs.,HTTP 404; no HTML canonical; 0 internal source page(s),Not submitted individually,Expected exclusion; no validation request.
https://emitronix.ae/$,English,Site page,Exclude: malformed URL,Not found (404),404,"noindex | noindex, follow",,Not available in aggregate report,No,0,Malformed one-character URL discovered historically; no relevant replacement exists.,Keep a genuine 404 with noindex; do not redirect unrelated URLs.,HTTP 404; no HTML canonical; 0 internal source page(s),Not submitted individually,Expected exclusion; no validation request.
https://emitronix.ae/about,English,Site page,Index,,200,"index, follow",https://emitronix.ae/about,Not available in aggregate report,Yes,207,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 207 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/accessibility,English,Site page,Index,,200,"index, follow",https://emitronix.ae/accessibility,Not available in aggregate report,Yes,206,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 206 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/approval,English,Authority approval,Index,,200,"index, follow",https://emitronix.ae/approval,Not available in aggregate report,Yes,207,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 207 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/approvals,English,Authority approval,Exclude: canonical redirect,Page with redirect,308,No noindex detected,,Not available in aggregate report,No,0,Legacy alias or normalized locale URL points to the preferred canonical route.,Keep one permanent redirect; sitemap and internal links use the destination.,HTTP 308 -> https://emitronix.ae/approval,Not submitted individually,Expected exclusion; monitor only.
https://emitronix.ae/ar,Arabic,Home,Index,,200,"index, follow",https://emitronix.ae/ar,Not available in aggregate report,Yes,205,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 205 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/ar/,Arabic,Home,Exclude: canonical redirect,Page with redirect,308,No noindex detected,,Not available in aggregate report,No,0,Legacy alias or normalized locale URL points to the preferred canonical route.,Keep one permanent redirect; sitemap and internal links use the destination.,HTTP 308 -> https://emitronix.ae/ar,Not submitted individually,Expected exclusion; monitor only.
https://emitronix.ae/ar/about,Arabic,Site page,Index,,200,"index, follow",https://emitronix.ae/ar/about,Not available in aggregate report,Yes,40,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 40 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
https://emitronix.ae/ar/approval,Arabic,Authority approval,Index,,200,"index, follow",https://emitronix.ae/ar/approval,Not available in aggregate report,Yes,40,Canonical sitemap URL,No correction required,HTTP 200; self canonical; 40 internal source page(s),Not submitted individually,Monitor normal crawling and indexing
