"Level","Campaign","Ad Group","Asset Type","Asset Text","Structured Snippet Header","Structured Snippet Values","Description Line 1","Description Line 2","Final URL","Privacy Policy URL","Phone","Schedule","Recommended Form Fields","Status","Notes"
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","Sitelink","Warehouse Build","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","Structured snippet","","Service catalog","Warehouse Builds; Civil Works; MEP Coordination; Approval Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","Sitelink","Warehouse Contractors","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Tailored sitelink for this ad group. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","Structured snippet","","Service catalog","Scope Review; Civil Works; MEP Works; Handover Planning","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Landing-page alignment: use /warehouse-construction until a materially distinct contractor proposition is verified."
